No	X	Y	
ii08	230454.42	288517.62	22.05
ii09	230678.933	288633.91	-1.11
ii10	230833.723	288736.516	21.25
ii11	230771.046	288882.321	15.56
ii12	230850.55	288593.459	18.11
ii13	230739.678	288625.687	18.18
ii14	230593.119	288757.212	9.23
ii15	230426.628	288748.783	10.09
ii16	230275.593	288768.216	8.31
ii17	230291.971	288911.96	14.86
ii18	229898.075	288991.464	9.01
ii19	230065.87	288879.732	11.54
ii20	229778.296	288908.431	10.52
ii21	229660.816	288782.004	9.05
ii22	229549.35	288670.256	13.13
ii23	229813.1	289095.521	13.35
ii24	229577.633	289156.373	4.726
ii25	229412.82	289318.2	10.08
ii26	229220.443	289401.927	2.22
ii27	229134.917	289488.388	2.18
ii28	229508.916	289310.534	4.894
jj01	232425.459	288921.293	14.29
jj02	232545.158	289054.323	5.827
jj03	232669.788	289151.374	5.56
jj04	232800.229	289167.512	14.02
jj05	232945.989	289223.779	7.4
jj06	233051.918	289313.328	3.85
jj07	233165.022	289412.822	1.21
jj08	233309.745	289459.252	0.7
jj09	232799.697	289323.544	-3.35
jj10	232911.787	289427.618	-10.51
jj11	232694.276	289423.871	-2.84
jj12	232539.151	289457.911	-9.94
jj13	232436.206	289453.4	11.73
jj14	232351.737	289446.169	18.96
jj15	232256.664	289441.232	25.56
kk01	232339.778	289066.673	5.14
kk02	232386.515	289238.652	7.333
kk03	232540.282	289240.207	11.04
kk04	232216.288	289301.104	18.87
kk05	232585.477	289688.432	3.49
kk06	232673.592	289821.117	4.52
kk07	232779.915	289983.874	1.26
kk08	232841.096	290174.499	5.76
kk09	232811.521	290326.903	10.32
kk10	232763.585	290490.68	12.3
kk11	232800.923	290670.764	9.14
kk12	232404.982	288682.585	-2.16
kk13	232471.247	288811.985	2.22
kk14	232546.878	288733.979	1.48
kk15	232512.634	288531.415	13.45
kk16	232626.832	288584.063	2.45
kk17	232616.465	288452.418	4.38
kk18	232741.896	288620.553	3.07
kk19	232827.498	288526.779	2.75
kk20	232540.63	288948.048	15.91
kk21	232648.961	288867.165	3.9
kk22	232664.085	289068.166	-0.82
kk23	232790.585	289077.827	1.63
kk24	232923.052	289117.502	-4.42
kk25	232923.275	288959.585	-3.88
kk26	233099.151	288861.962	-4.82
kk27	233147.313	288664.863	-7.97
kk28	232148.085	287997.766	9.44
kk29	232157.779	287876.491	3.21
kk30	232180.496	287752.343	7.75
kk31	232198.564	287683.369	4.525
kk32	232232.976	287604.54	-1.72
