xcoord, ycoord, zcoord
7.880140000000246800e+02,8.455144999999902211e+02,1.000000000000000000e+00
2.899480000000330620e+02,1.080614500000025146e+03,-9.000000000000000000e+00
-3.009299999999348074e+01,9.885835000000079162e+02,-9.000000000000000000e+00
1.129000000000232831e+02,1.012793500000028871e+03,-9.000000000000000000e+00
-3.703999999997904524e+01,1.119771500000031665e+03,-9.000000000000000000e+00
-1.847599999999802094e+02,8.474155000000027940e+02,-9.000000000000000000e+00
-3.517009999999718275e+02,7.619475000000093132e+02,-9.000000000000000000e+00
-4.798599999999860302e+02,7.159725000000325963e+02,-9.000000000000000000e+00
-5.866599999999743886e+02,6.629095000000088476e+02,-9.000000000000000000e+00
-6.853799999999755528e+02,6.184974999999976717e+02,-9.000000000000000000e+00
-1.429589999999734573e+02,7.249735000000218861e+02,1.000000000000000000e+00
-1.717289999999920838e+02,1.036429500000027474e+03,-9.000000000000000000e+00
-2.330879999999888241e+02,1.189307499999995343e+03,-9.000000000000000000e+00
-3.557659999999741558e+02,1.133355500000005122e+03,-9.000000000000000000e+00
-2.896619999999820720e+02,9.805045000000391155e+02,-9.000000000000000000e+00
-4.699559999999764841e+02,8.993614999999990687e+02,-9.000000000000000000e+00
-5.394049999999697320e+02,1.047630500000028405e+03,-9.000000000000000000e+00
-2.940879999999888241e+02,-1.464265499999979511e+03,-9.000000000000000000e+00
-3.094709999999904539e+02,-1.328276499999978114e+03,-9.000000000000000000e+00
-4.139639999999781139e+02,-1.366388500000000931e+03,-9.000000000000000000e+00
-5.484079999999958090e+02,-1.372831499999971129e+03,-9.000000000000000000e+00
-5.020959999999904539e+02,-1.284739499999966938e+03,-9.000000000000000000e+00
-3.730279999999911524e+02,-1.226397499999962747e+03,-9.000000000000000000e+00
-4.386499999999941792e+02,-1.083552499999990687e+03,-9.000000000000000000e+00
-2.842939999999944121e+02,-1.233768500000005588e+03,-9.000000000000000000e+00
-2.621689999999944121e+02,-1.108115499999956228e+03,-9.000000000000000000e+00
-2.155519999999669380e+02,-9.502934999999706633e+02,-9.000000000000000000e+00
-2.778709999999846332e+02,-9.420125000000116415e+02,-9.000000000000000000e+00
-1.356599999999743886e+02,-1.179688499999989290e+03,1.000000000000000000e+00
-1.361399999997229315e+01,-1.228421499999996740e+03,1.100000000000000000e+01
1.089850000000151340e+02,-1.248775499999988824e+03,1.100000000000000000e+01
7.895400000002700835e+01,-1.366572500000009313e+03,1.100000000000000000e+01
2.414000000001396984e+01,-7.283885000000009313e+02,1.000000000000000000e+00
1.256140000000305008e+02,-8.209855000000097789e+02,1.100000000000000000e+01
2.747050000000162981e+02,-9.281055000000051223e+02,1.100000000000000000e+01
2.221840000000083819e+02,-9.976674999999813735e+02,1.100000000000000000e+01
2.743950000000186265e+02,-1.086686500000010710e+03,1.100000000000000000e+01
